iter	RMSE
0	21.74939275
1	21.29874032
2	20.86030016
3	20.46599016
4	20.01402746
5	19.60368547
6	19.24414512
7	18.87947054
8	18.51382928
9	18.16662134
10	17.77983114
11	17.47916177
12	17.14045838
13	16.84776992
14	16.49874372
15	16.24573682
16	15.9464946
17	15.66595494
18	15.43263545
19	15.26237269
20	15.01445009
21	14.80064305
22	14.56782951
23	14.35732984
24	14.17003952
25	13.94268782
26	13.72474605
27	13.53488591
28	13.35906052
29	13.17733892
30	13.00363163
31	12.84221872
32	12.67912293
33	12.50190753
34	12.34226937
35	12.18010191
36	12.04343189
37	11.91479437
38	11.79477819
39	11.67693257
40	11.55995604
41	11.44832743
42	11.36165727
43	11.26029729
44	11.14989355
45	11.06429567
46	10.94461769
47	10.83401202
48	10.71752648
49	10.60720702
50	10.52409288
51	10.42450675
52	10.32529095
53	10.21885979
54	10.12928793
55	10.04411458
56	9.960250518
57	9.878130405
58	9.811356908
59	9.745230168
60	9.686784247
61	9.604284308
62	9.52996847
63	9.452576815
64	9.375142844
65	9.336374237
66	9.255118918
67	9.173190277
68	9.101385843
69	9.037629407
70	8.978011323
71	8.934983652
72	8.902798368
73	8.868990205
74	8.81745827
75	8.796912051
76	8.738942329
77	8.678786502
78	8.608513045
79	8.571337223
80	8.540221693
81	8.498606762
82	8.452190823
83	8.396166591
84	8.337583448
85	8.284541566
86	8.234415393
87	8.176340969
88	8.119008966
89	8.081690926
90	8.062958587
91	8.016303499
92	7.983115122
93	7.946801875
94	7.898218012
95	7.849799185
96	7.801824913
97	7.754623522
98	7.721800692
99	7.703805816
100	7.673477083
101	7.649595814
102	7.624082488
103	7.595158032
104	7.577075487
105	7.560751874
106	7.548304955
107	7.528464654
108	7.500594699
109	7.473452678
110	7.446288205
111	7.424512712
112	7.402160424
113	7.374813167
114	7.343031211
115	7.315359683
116	7.290768183
117	7.265568754
118	7.234886826
119	7.204480283
120	7.17936077
121	7.144806832
122	7.132722244
123	7.113171133
124	7.086089012
125	7.071390459
126	7.046208025
127	7.037844147
128	7.022586618
129	7.012351146
130	6.98855422
131	6.97232779
132	6.952201394
133	6.934430379
134	6.924202062
135	6.913788897
136	6.892678786
137	6.863908283
138	6.838809548
139	6.812402838
140	6.803105176
141	6.790570035
142	6.773609949
143	6.766414703
144	6.752451453
145	6.720962183
146	6.707544259
147	6.684439958
148	6.667279117
149	6.635527891
150	6.609344304
151	6.596458072
152	6.561339691
153	6.535505738
154	6.523726113
155	6.513308265
156	6.507459009
157	6.485960986
158	6.463192425
159	6.45361917
160	6.437656728
161	6.419416215
162	6.405950083
163	6.398127829
164	6.384933825
165	6.37083334
166	6.350826954
167	6.342037455
168	6.329948539
169	6.317713928
170	6.297572913
171	6.29083501
172	6.265933578
173	6.256743126
174	6.239945206
175	6.218444579
176	6.208545091
177	6.179072039
178	6.156567587
179	6.144136688
180	6.125671765
181	6.095087719
182	6.080892868
