iter	Passed	Remaining
0	51	51751
1	53	26578
2	54	18141
3	55	13857
4	56	11241
5	57	9532
6	58	8321
7	59	7404
8	61	6727
9	62	6158
10	63	5686
11	64	5293
12	65	4963
13	66	4686
14	68	4471
15	69	4252
16	69	4047
17	70	3870
18	71	3708
19	72	3562
20	73	3448
21	77	3425
22	80	3417
23	83	3403
24	85	3330
25	86	3249
26	87	3168
27	88	3088
28	90	3018
29	91	2950
30	92	2892
31	93	2829
32	94	2773
33	95	2726
34	97	2686
35	98	2636
36	99	2587
37	100	2542
38	101	2501
39	102	2464
40	103	2426
41	104	2388
42	105	2355
43	106	2321
44	108	2293
45	109	2264
46	110	2231
47	110	2200
48	111	2170
49	112	2144
50	114	2124
51	115	2099
52	116	2075
53	117	2051
54	120	2073
55	124	2096
56	128	2118
57	129	2105
58	130	2084
59	131	2063
60	132	2043
61	133	2026
62	134	2007
63	136	1989
64	137	1972
65	138	1957
66	139	1944
67	140	1927
68	141	1910
69	142	1893
70	143	1878
71	144	1863
72	145	1848
73	146	1832
74	147	1817
75	148	1804
76	149	1792
77	150	1780
78	151	1768
79	152	1759
80	153	1746
81	155	1735
82	155	1722
83	156	1709
84	157	1698
85	158	1687
86	159	1677
87	160	1666
88	163	1674
89	166	1684
90	170	1700
91	171	1694
92	173	1687
93	174	1680
94	175	1672
95	176	1665
96	178	1657
97	179	1649
98	180	1641
99	181	1631
100	182	1624
101	183	1618
102	184	1609
103	186	1602
104	186	1593
105	187	1585
106	200	1671
107	201	1663
108	202	1654
109	203	1645
110	204	1637
111	205	1630
112	206	1624
113	208	1616
114	209	1609
115	210	1601
116	211	1594
117	212	1586
118	213	1578
119	214	1570
120	215	1563
121	216	1555
122	217	1550
123	218	1542
124	219	1536
125	220	1529
126	221	1522
127	222	1516
128	223	1509
129	224	1504
130	225	1497
131	226	1490
132	227	1484
133	228	1478
134	229	1473
135	230	1467
136	231	1461
137	234	1464
138	245	1518
139	246	1515
140	248	1511
141	249	1507
142	250	1503
143	252	1500
144	253	1495
145	254	1490
146	256	1486
147	257	1482
148	258	1477
149	259	1471
150	260	1466
151	262	1462
152	263	1459
153	264	1455
154	266	1451
155	267	1446
156	268	1442
157	270	1439
158	271	1435
159	272	1430
160	273	1424
161	274	1419
162	275	1415
163	276	1411
164	282	1427
165	285	1434
166	288	1440
167	290	1437
168	291	1432
169	292	1427
170	293	1423
171	294	1419
172	296	1416
173	297	1411
174	298	1407
175	299	1403
176	301	1399
177	302	1394
178	303	1390
179	304	1386
180	305	1382
181	306	1379
182	308	1375
183	309	1371
184	310	1368
185	312	1365
186	313	1362
187	314	1360
188	316	1357
189	317	1353
190	318	1349
191	319	1345
192	320	1341
193	322	1338
194	324	1340
195	328	1346
196	331	1353
197	334	1352
198	335	1350
199	336	1346
200	338	1344
201	339	1342
202	341	1339
203	342	1334
204	343	1330
205	344	1327
206	345	1324
207	346	1321
208	348	1317
209	351	1321
210	354	1324
211	358	1332
212	360	1330
213	361	1327
214	362	1324
215	364	1321
216	365	1317
217	366	1315
218	368	1312
219	369	1308
220	370	1305
221	371	1303
222	373	1300
223	374	1298
224	376	1295
225	377	1293
226	378	1289
227	379	1285
228	380	1282
229	382	1279
230	383	1276
231	385	1274
232	386	1272
233	387	1269
234	389	1266
235	390	1263
236	391	1260
237	394	1264
238	397	1265
239	400	1269
240	402	1266
241	403	1263
242	404	1259
243	405	1256
244	406	1252
245	407	1249
246	408	1246
247	409	1243
248	411	1240
249	412	1238
250	414	1235
251	415	1232
252	416	1230
253	417	1227
254	419	1224
255	420	1222
256	421	1219
257	423	1216
258	424	1214
259	425	1211
260	427	1210
261	428	1207
262	429	1204
263	430	1200
264	432	1198
265	433	1196
266	437	1200
267	440	1204
268	445	1211
269	446	1208
270	448	1205
271	448	1201
272	449	1198
273	451	1195
274	452	1192
275	453	1189
276	454	1186
277	456	1184
278	457	1182
279	458	1179
280	460	1177
281	461	1174
282	462	1170
283	463	1167
284	464	1165
285	466	1164
286	467	1162
287	469	1159
288	470	1157
289	471	1153
290	474	1156
291	478	1161
292	480	1159
293	483	1160
294	484	1157
295	485	1155
296	486	1152
297	487	1149
